SAMPLE ID,ACCESSION NUMBER,TRANSECT NAME,STREAM ABBREVIATION,LATITUDE_DD,LONGITUDE_DD,COLLECTION DATE,SEASON,MAT TYPE,AFDM (mg/cm2),CHL-A (ug/cm2),TOTAL_ANNUAL_DISCHARGE (L),VALVES COUNTED PER SAMPLE,Unknown,Marine diatom fragments,record_no,region,Achnanthes,Psammothidium papilio,Psammothidium germainii,Achnanthes taylorensis,Amphora,Amphora cf. oligotraphenta,Craticula molestiformis,Humidophila,Humidophilia arcuata var. parallela,Humidophila australis,Humidophila arcuata,Microcostatus naumannii,Fistulifera,Fistulifera pelliculosa,Hantzschia,Hantzschia amphioxys,Hantzschia abundans,Hantzschia sp. #2,Hantzschia hyperaustralis,Hantzschia amphioxys f. muelleri,Luticola,Luticola bradyi,Luticola gaussii,Luticola laeta,Luticola murrayi,Luticola mutica,Luticola muticopsis,Luticola dolia,Luticola permuticopsis,Luticola mcknightiae,Luticola muticopsis fo. reducta,Luticola austroatlantica,Mayamaea,Mayamaea atomus var. #1,Mayamaea atomus,Mayamaea atomus fo. permitis,Muelleria,Muelleria meridionalis,Muelleria peraustralis,Muelleria supra,Navicula,Navicula seibigiana,Navicula gregaria,Navicula shackletoni,Navicula gregaria_1,Nitzschia,Nitzschia australocommutata,Nitzschia sp. #2,Nitzschia westiorum,Pinnularia,Pinnularia borealis,Chamaepinnularia cymatopleura,Chamaepinnularia quaternaria,Chamaepinnularia deltaica,Chamaepinnularia cymatopleura var. #3,Stauroneis latistauros,Stauronella,Craspedostauros laevissiumus,Melosira charcotii,Luticola sp. #2,Luticola spp.,Hantzschia spp.,Navicula lineola var. perlepida,Luticola sp. #3,Muelleria cryoconicola,Luticola australomutica,Achnanthidium minutissimum,Adlafia bryophila,Amphora veneta,Aulacoseira distans,Chamaepinnularia sp.#2,Frankophila maillardii,Frustulia vulgaris,Luticola muticopsis_1,Mayamaea fossalis var. fossalis,Melosira echinata,Muelleria luculenta,Nitzschia angustatula,Nitzschia fonticola,Nitzschia sp.#1,Pinnuavis genustriata,Pinnularia kolbei,Pinnularia pisciculus,Planothidium delicatulum,Planothidium quadripunctatum,Rhopalodia rupestris,Stauroneis smithii var. sagitta,Tabularia fasciculata,Chamaepinnularia aliena,Hantzschia elongata,Luticola elegans,Luticola transantarctica
03CAG2010B04,1172,Canada Gauge,CAG,-77.6136333,163.0522667,1/18/2010,2010,black,22.73127753,23.52392982,158136606,332.9,0,0,21,canada_huey,0,44.5,0,5.2,0,2,1,0,86,4,0,1,0,0,5.6,6,16.5,0,0,5.5,1,0,17,6,0,13,13,0,1,11,3,38,0,0,1,0,1,5.5,10.7,11,0,0,0,1,0,0,2.2,0,0.6,0,7.1,0,2,2,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21AIK2013O03,2226,Aiken,AIK,-77.600694,163.292417,1/18/2013,2013,orange,30.35242291,23.32528546,258722325,328.7,0,0,22,NA,0,1.7,0,0,0,4,14,4,10,12,5.7,0,0,0,7.8,44.5,38.8,0,2.2,0,13.4,0,2.7,2.5,0,4,3,0,5.5,0,0,19.2,1,3,31,1,1,0,0,0,0,43.7,0,2.2,0,0,6.3,0,2.6,0,0,10.4,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08DEG2010B02,1145,Delta Gauge,DEG,-77.6531944,163.0995833,1/21/2010,2010,black,13.87665198,22.82690131,21715029,346.3,0,0,23,delta_harnish_crescent_vg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,17,62.5,0,1,3.7,12,0,0,27.5,0,11.5,20,10,19,56,0,58,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2010B04,1103,Von Guerard Gauge,VGG,-77.6092258,163.2552989,1/27/2010,2010,black,23.17180617,22.73977275,93741201,368.9,0,0,24,delta_harnish_crescent_vg,0,0,0,18.6,0,0,0,0,7,0,0,0,0,14,20,10,39.5,0,0,2.5,17,0,3,10,0,8.5,34.5,9,72,18,1.5,37.5,0,2,7,0,0.5,2,1,0,0,28.3,0,0,0,0,2,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22CMN2012B04,954,Commonwealth,CMN,-77.563611,163.382556,1/23/2012,2012,black,23.92070485,22.5687639,265935996,326,0,0,25,NA,0,9,0,0,0,0,2,0,128.5,0,0,0,0,0,0.8,45,22,0,0.5,22,1,0,10,1,0,4,9,0,3,0,0,7,0,13,11.5,4,1.2,6,3,2,0,1,0,2,0,0,8,0,3.5,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09GRN2010B01,1121,Green,GRN,-77.6239914,163.0583922,1/14/2010,2010,black,13.83259912,22.30412993,122636583,303.3,0,0,26,green_bowles,0,59,0,0,0,0,4.5,0,64.5,10.5,0,0,0,2,3.8,1,4,0,0,2.2,2,0,9,1,0,5,10.5,0,2,2,0,15,0,0,52,0,0.8,0,7,2,0,0,0,1,0,0,0.4,0,7.1,0,0,0,3.5,1,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2012B04,926,Von Guerard Gauge,VGG,-77.609226,163.255299,1/19/2012,2012,black,15.85903084,20.95505681,40636683,354.5,0,0,27,delta_harnish_crescent_vg,0,0,0,2.7,0,0,1,0,13,0,0,0,0,6,9,24,30.5,0,0,25.6,7.4,0,0,4,0,21.5,91.5,2,18.5,4,0,53.5,0,3,15,3,0.2,0,1.2,0,0,2.5,0,0,0,0,2.9,0,0,0,0,0,0,0.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2013B04,2402,Von Guerard Gauge,VGG,-77.609226,163.255299,1/14/2013,2013,black,18.28193833,20.87005374,16980732,358.6,0,0,28,delta_harnish_crescent_vg,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1.4,46.4,60.9,0,0,0,0.2,0,0,20.5,0,4,0,0,16,27,0,96,0,1,1,0,0,1,2.2,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
12VGG2012O04,919,Von Guerard Gauge,VGG,-77.609226,163.255299,1/19/2012,2012,orange,6.784140969,20.60205839,40636683,360.2,0,0,29,delta_harnish_crescent_vg,0,0,0,3.5,0,0,0,0,9,0,0,0,0,25,7.4,13.5,9,0,0,12,4.6,0,0,11,0,26,142.5,0,17,3,0,53.5,0,0,2,0,0.2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0.5,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03CAG2008O15,733,Canada Gauge,CAG,-77.6,163.05,1/1/2008,2008,orange,27.66519824,20.33824782,237549708,320.1,0,1.4,30,canada_huey,0,141.5,0,0,0,0,1,0,67,14,14,0,0,0,4,5.7,0,0,0,1,2,0,2,0,0,9,9.9,3,0,8.5,5.9,5.5,0,0,4.5,1,0,2.2,4.7,3,0,0.2,0,1,0,0,0.4,0,0.6,0,0,0.5,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
