row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region,NDVI_01,NDVI_rescaled,NDVI_rescaledf_log1p,obs_sample_row,chl_a,chl_a_log1p,transect_name,mat_type,afdm,Ef_scores
819,461,0.25124263763427734,0.2241371676214129,0.29018374955562876,delta_harnish_crescent_vg,0.07333335570784925,11.000003356177388,2.48490692946941,37,18.17108188,2.9534029915631663,Von Guerard Gauge,orange,7.841409692,-0.21507366459664268
820,460,0.2510744333267212,0.22400272877690236,0.289856594381393,delta_harnish_crescent_vg,0.07296554473349459,10.94483171002419,2.480298691940492,159,3.219407336,1.4396946764788994,Delta Gauge,orange,5.022026432,0.8752890667299905
862,765,0.250774621963501,0.22376305695176052,0.28927335612165384,delta_harnish_crescent_vg,0.07230994969415938,10.846492454123908,2.472031828333264,190,1.112,0.7476353658440151,Von Guerard Middle,orange,9.09,1.373797050510123
1289,464,0.2504090964794159,0.2234707749542471,0.2885620916937974,delta_harnish_crescent_vg,0.07151065812781282,10.726598719171923,2.46185965635265,81,8.914215859,2.293969672510433,Von Guerard Middle,black,27.92951542,-1.215796589959698
2439,1564,0.25002750754356384,0.2231655571069316,0.2878193480442078,canada_huey,0.07067624074375237,10.601436111562855,2.4511288931703303,55,12.68480798,2.616286310972937,Canada Gauge,black,16.56387665,-1.4479694906195126
1577,1740,0.25000903010368347,0.22315077537106298,0.2877833768828131,canada_huey,0.07063583627810746,10.595375441716119,2.4506063498052026,220,0.054,0.05259245011917058,Canada Gauge,black,2.31,0.3987246264371268
1575,1385,0.24963900446891785,0.2228547131796259,0.28706291340235957,canada_huey,0.06982670426932157,10.474005640398236,2.4400840977603706,133,4.962198238,1.7854392449546959,Canada Gauge,black,11.71806167,-0.8494891445774574
761,486,0.2492172122001648,0.22251712491028475,0.2862413967530731,delta_harnish_crescent_vg,0.06890437458823695,10.335656188235543,2.4279531727325634,5,37.40102143,3.6480840589794976,Von Guerard Middle,black,22.2907489,-2.19119974144262
1317,441,0.24918009340763092,0.22248741082721774,0.28616908791957757,delta_harnish_crescent_vg,0.06882320723023576,10.323481084535365,2.4268785418033008,39,17.42922223,2.9139375694890073,Von Guerard Middle,orange,21.18942731,-0.18664571386338458
1308,469,0.2489558458328247,0.2223078789035253,0.2857321993254341,delta_harnish_crescent_vg,0.06833284690484034,10.249927035726051,2.420361642916157,204,0.29,0.25464221837358075,Von Guerard Gauge,orange,10.3,1.7289125965136156
871,739,0.24879509210586548,0.22217916012317016,0.28541896385269694,delta_harnish_crescent_vg,0.0679813280537296,10.19719920805944,2.4156636763191766,138,4.556,1.7148784248920974,Delta Gauge,orange,1.4,0.6770671896705307
870,740,0.24879509210586548,0.22217916012317016,0.28541896385269694,delta_harnish_crescent_vg,0.0679813280537296,10.19719920805944,2.4156636763191766,205,0.283,0.24920108563349935,Von Guerard Middle,black,14,0.2571024085464416
851,785,0.24846753478050232,0.2219168270199434,0.28478057966837567,delta_harnish_crescent_vg,0.06726506114743404,10.089759172115105,2.406022085356882,185,1.646171235,0.9731137782625037,Von Guerard Gauge,black,11.05726872,-0.2643503792272963
