sim_id,alpha_q1_length,beta_q1_length,gamma_q1_length,alpha_q1_diff,beta_q1_diff,gamma_q1_diff,alpha_chi_sq,beta_chi_sq,gamma_chi_sq,chi_sq_tot
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-7485_2019-08-30_153605_20190830_153823,2,2,2,-8.48058214493921,7.69661032951186,-1.0141501810395326,21.064860043925123,26.995128486448518,0.2801791044200818,48.34016763479372
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-7725_2019-08-30_161745_20190830_162008,2,2,2,-8.026656663567794,4.580336144101359,-4.694662479326812,18.870205115474324,9.560510947270032,6.003989808037555,34.43470587078191
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-7939_2019-08-30_165705_20190830_165933,2,2,2,-8.418454640847209,6.058701293498017,-4.030386732733959,20.757354389801904,16.728056363646743,4.425115786186352,41.910526539635
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-2101_2019-08-29_234855_20190829_235118,2,2,2,-8.661581571742282,7.755496642482247,-2.6660911488693024,21.973621891191126,27.409784978384376,1.9363380688591176,51.31974493843462
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-2798_2019-08-30_015055_20190830_015322,2,2,2,-8.56131831770162,9.330604723517695,1.5782317690154635,21.467849265109688,39.67399950163152,0.6785357905869726,61.820384557328175
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-384_2019-08-29_184618_20190829_184841,2,2,2,-7.431060250313177,5.115878150698831,0.9800916399847033,16.17367875062436,11.926878201989112,0.26167640653384167,28.362233359147314
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-4036_2019-08-30_053019_20190830_053241,2,2,2,-8.229114026235798,7.602838173053493,1.2168423426683503,19.834141530509562,26.341341788738816,0.4033664981336439,46.57884981738202
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-4343_2019-08-30_062258_20190830_062529,2,2,2,-8.034218468506154,5.817969154641619,-1.531767762879074,18.905776594534498,15.425144073604118,0.6391709793349298,34.970091647473545
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-5066_2019-08-30_083011_20190830_083229,2,2,2,-8.713565884096141,9.916554501963343,0.9656093035606652,22.238172064329376,44.813411496676245,0.25400021294003755,67.30558377394567
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-5336_2019-08-30_091753_20190830_092013,2,2,2,-8.545595247254411,8.690065014887033,0.42205976262748024,21.389069212053823,34.41378582985271,0.0485265144911129,55.851381556397655
