row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region
1290,464,0.2568216919898987,0.228586067509483,0.30101008939318097,delta_harnish_crescent_vg
1478,1540,0.25640955567359924,0.22825809425164853,0.30021197074895917,canada_huey
768,485,0.25627607107162476,0.228151845701747,0.2999534162888857,delta_harnish_crescent_vg
1612,189,0.2557206153869629,0.2277096033240328,0.29887722523218424,delta_harnish_crescent_vg
695,449,0.2556803822517395,0.22767756293282118,0.29879925535816765,delta_harnish_crescent_vg
1327,406,0.2555621266365051,0.22758338197267636,0.2985700672203341,delta_harnish_crescent_vg
860,755,0.2554910480976105,0.22752676944082811,0.2984323013626449,delta_harnish_crescent_vg
768,484,0.2554173469543457,0.22746806467610536,0.29828944408355074,delta_harnish_crescent_vg
762,488,0.2553332448005676,0.2274010710415439,0.2981264159478401,delta_harnish_crescent_vg
818,462,0.2552371323108673,0.22732450478343497,0.2979400929576106,delta_harnish_crescent_vg
851,786,0.25478577613830566,0.22696486170933608,0.2970649062286717,delta_harnish_crescent_vg
1314,471,0.2547324001789093,0.22692232289857303,0.2969613885876385,delta_harnish_crescent_vg
1623,179,0.2546214759349823,0.2268339142886475,0.2967462473887578,delta_harnish_crescent_vg
1312,434,0.25452500581741333,0.22675701952118923,0.2965591249753124,delta_harnish_crescent_vg
859,801,0.2545163035392761,0.2267500827855486,0.29654224451962713,delta_harnish_crescent_vg
1289,466,0.25425437092781067,0.22654126926976334,0.29603409955313165,delta_harnish_crescent_vg
1879,1839,0.25425243377685547,0.2265397248043853,0.29603034111678317,canada_huey
866,806,0.2540411353111267,0.22637124495112362,0.29562034759184835,delta_harnish_crescent_vg
1865,1927,0.2539084255695343,0.2262654136825955,0.29536280858055325,canada_huey
865,759,0.2537062168121338,0.22610413789929035,0.2949703460658738,delta_harnish_crescent_vg
456,916,0.2537062168121338,0.22610413789929035,0.2949703460658738,delta_harnish_crescent_vg
690,449,0.2535370886325836,0.22596922623799331,0.29464204029815644,delta_harnish_crescent_vg
1289,467,0.25348132848739624,0.2259247430025964,0.29453379092514353,delta_harnish_crescent_vg
1326,407,0.2534637153148651,0.22591069149989199,0.29449959677662735,delta_harnish_crescent_vg
